Packet_Nbre,Cycle,HPM0,HPM2,HPM3,HPM4,HPM5,HPM6,HPM7,HPM8,HPM9,HPM10,HPM11
legitime,48489.0,48489.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,47260.0,47260.0,15308.0,489.0,74.0,14593.0,2515.0,2163.0,1460.0,2360.0,1207.0,10282.0
legitime,48489.0,48489.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,49674.0,49674.0,16124.0,509.0,82.0,15662.0,2651.0,2291.0,1516.0,2500.0,1263.0,10774.0
legitime,43100.0,43100.0,14084.0,459.0,62.0,13466.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,50868.0,50868.0,16736.0,524.0,88.0,15930.0,2753.0,2387.0,1558.0,2605.0,1305.0,11143.0
legitime,39488.0,39488.0,12860.0,429.0,50.0,12301.0,2107.0,1779.0,1292.0,1940.0,1039.0,8806.0
legitime,51433.0,51433.0,16940.0,529.0,90.0,16121.0,2787.0,2419.0,1572.0,2640.0,1319.0,11266.0
legitime,43646.0,43646.0,14288.0,464.0,64.0,13638.0,2345.0,2003.0,1390.0,2185.0,1137.0,9667.0
legitime,49037.0,49037.0,16124.0,509.0,82.0,15357.0,2651.0,2291.0,1516.0,2500.0,1263.0,10774.0
legitime,48438.0,48438.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,39453.0,39453.0,12860.0,429.0,50.0,12301.0,2107.0,1779.0,1292.0,1940.0,1039.0,8806.0
legitime,50885.0,50885.0,16736.0,524.0,88.0,15930.0,2753.0,2387.0,1558.0,2605.0,1305.0,11143.0
legitime,48472.0,48472.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,45477.0,45477.0,14900.0,479.0,70.0,14211.0,2447.0,2099.0,1432.0,2290.0,1179.0,10036.0
legitime,41883.0,41883.0,13676.0,449.0,58.0,13065.0,2243.0,1907.0,1348.0,2080.0,1095.0,9298.0
legitime,44886.0,44886.0,14696.0,474.0,68.0,14020.0,2413.0,2067.0,1418.0,2255.0,1165.0,9913.0
legitime,43680.0,43680.0,14288.0,464.0,64.0,13638.0,2345.0,2003.0,1390.0,2185.0,1137.0,9667.0
legitime,51592.0,51592.0,16940.0,529.0,90.0,16176.0,2787.0,2419.0,1572.0,2640.0,1319.0,11266.0
legitime,50514.0,50514.0,16124.0,509.0,82.0,15772.0,2651.0,2291.0,1516.0,2500.0,1263.0,10774.0
legitime,47508.0,47508.0,15308.0,489.0,74.0,14715.0,2515.0,2163.0,1460.0,2360.0,1207.0,10282.0
legitime,43711.0,43711.0,14288.0,464.0,64.0,13655.0,2345.0,2003.0,1390.0,2185.0,1137.0,9667.0
legitime,43081.0,43081.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,48472.0,48472.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,50286.0,50286.0,16532.0,519.0,86.0,15739.0,2719.0,2355.0,1544.0,2570.0,1291.0,11020.0
legitime,47240.0,47240.0,15512.0,494.0,76.0,14784.0,2549.0,2195.0,1474.0,2395.0,1221.0,10405.0
legitime,40651.0,40651.0,13268.0,439.0,54.0,12683.0,2175.0,1843.0,1320.0,2010.0,1067.0,9052.0
legitime,41250.0,41250.0,13472.0,444.0,56.0,12874.0,2209.0,1875.0,1334.0,2045.0,1081.0,9175.0
legitime,49636.0,49636.0,16328.0,514.0,84.0,15548.0,2685.0,2323.0,1530.0,2535.0,1277.0,10897.0
legitime,48438.0,48438.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,49636.0,49636.0,16328.0,514.0,84.0,15548.0,2685.0,2323.0,1530.0,2535.0,1277.0,10897.0
legitime,43646.0,43646.0,14288.0,464.0,64.0,13638.0,2345.0,2003.0,1390.0,2185.0,1137.0,9667.0
legitime,41849.0,41849.0,13676.0,449.0,58.0,13065.0,2243.0,1907.0,1348.0,2080.0,1095.0,9298.0
legitime,43047.0,43047.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,49636.0,49636.0,16328.0,514.0,84.0,15548.0,2685.0,2323.0,1530.0,2535.0,1277.0,10897.0
legitime,46658.0,46658.0,15308.0,489.0,74.0,14593.0,2515.0,2163.0,1460.0,2360.0,1207.0,10282.0
legitime,46076.0,46076.0,15104.0,484.0,72.0,14402.0,2481.0,2131.0,1446.0,2325.0,1193.0,10159.0
legitime,39470.0,39470.0,12860.0,429.0,50.0,12301.0,2107.0,1779.0,1292.0,1940.0,1039.0,8806.0
legitime,41284.0,41284.0,13472.0,444.0,56.0,12874.0,2209.0,1875.0,1334.0,2045.0,1081.0,9175.0
legitime,39470.0,39470.0,12860.0,429.0,50.0,12301.0,2107.0,1779.0,1292.0,1940.0,1039.0,8806.0
legitime,46692.0,46692.0,15308.0,489.0,74.0,14593.0,2515.0,2163.0,1460.0,2360.0,1207.0,10282.0
legitime,47274.0,47274.0,15512.0,494.0,76.0,14784.0,2549.0,2195.0,1474.0,2395.0,1221.0,10405.0
legitime,48472.0,48472.0,15920.0,504.0,80.0,15166.0,2617.0,2259.0,1502.0,2465.0,1249.0,10651.0
legitime,47291.0,47291.0,15512.0,494.0,76.0,14784.0,2549.0,2195.0,1474.0,2395.0,1221.0,10405.0
legitime,43064.0,43064.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,43081.0,43081.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,42482.0,42482.0,13880.0,454.0,60.0,13256.0,2277.0,1939.0,1362.0,2115.0,1109.0,9421.0
legitime,43646.0,43646.0,14288.0,464.0,64.0,13638.0,2345.0,2003.0,1390.0,2185.0,1137.0,9667.0
