Packet_Nbre,Cycle,Cycles,Minstret,JMP_STALL,IMISS,LD,ST,JUMP,BRANCH,BRANCH_TAKEN,COMP_INSTR,PIP_STALL
1,38935,38935,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,38935,38935,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,38306,38306,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,38306,38306,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,40210,40210,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,40210,40210,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,42097,42097,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,42709,42709,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,37322,37322,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,43612,43612,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,43612,43612,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,43017,43017,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,43646,43646,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,42388,42388,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,41113,41113,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,43000,43000,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,43629,43629,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,41130,41130,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41742,41742,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,43656,43656,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,42371,42371,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,43646,43646,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,39855,39855,12921,234,44,11801,2060,1771,1283,1941,1067,8804
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,42388,42388,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,41113,41113,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,38614,38614,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,43629,43629,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,37339,37339,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,40501,40501,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,38230,38230,12285,222,38,11344,1955,1669,1241,1833,1022,8420
1,40641,40641,12921,234,44,12207,2060,1771,1283,1941,1067,8804
1,44485,44485,14193,258,56,13404,2270,1975,1367,2157,1157,9572
1,43067,43067,13981,254,54,12814,2235,1941,1353,2121,1142,9444
1,41880,41880,13345,241,48,12562,2130,1839,1311,2013,1097,9060
1,42881,42881,13769,244,52,12863,2200,1907,1339,2085,1127,9316
1,39937,39937,12921,233,44,11852,2060,1771,1283,1941,1067,8804
1,44020,44020,13981,254,54,13309,2235,1941,1353,2121,1142,9444
1,38863,38863,12497,226,40,11559,1990,1703,1255,1869,1037,8548
1,41742,41742,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,40496,40496,12921,234,44,12138,2060,1771,1283,1941,1067,8804
1,42084,42084,13557,246,50,12572,2165,1873,1325,2049,1112,9188
1,40484,40484,13133,238,46,12014,2095,1805,1297,1977,1082,8932
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
